attributes,IG_pkg_bits
PPERSAUT,0.01580155248486026
APERSAUT,0.010782610607486864
PBRAND,0.007326217424564407
MINKGEM,0.005267943268290276
PWAPART,0.0045977713131092335
MKOOPKLA,0.0041728401190698206
MINKM30,0.004168084760451607
AWAPART,0.0039830580807243
MOSTYPE,0.003966897324058971
MOSHOOFD,0.003966897324058971
MOPLLAAG,0.003429566904981751
MHKOOP,0.0031192001395048408
MHHUUR,0.0031192001395047297
MINK4575,0.0029521069829512303
MAUT0,0.002785020462201304
ABRAND,0.002762335248504777
PPLEZIER,0.0027343275958763846
APLEZIER,0.0027343275958763846
MOPLHOOG,0.0027140465658370694
MAUT1,0.002372797033967866
MRELGE,0.0022362936984750004
MSKA,0.002216561560899999
MRELOV,0.002107782388869439
MSKD,0.0019028534584271117
MAANTHUI,0
MGEMOMV,0
MGEMLEEF,0
MGODRK,0
MGODPR,0
MGODOV,0
MGODGE,0
MRELSA,0
MFALLEEN,0
MFGEKIND,0
MFWEKIND,0
MOPLMIDD,0
MBERHOOG,0
MBERZELF,0
MBERBOER,0
MBERMIDD,0
MBERARBG,0
MBERARBO,0
MSKB1,0
MSKB2,0
MSKC,0
MAUT2,0
MZFONDS,0
MZPART,0
MINK3045,0
MINK7512,0
MINK123M,0
PWABEDR,0
PWALAND,0
PBESAUT,0
PMOTSCO,0
PVRAAUT,0
PAANHANG,0
PTRACTOR,0
PWERKT,0
PBROM,0
PLEVEN,0
PPERSONG,0
PGEZONG,0
PWAOREG,0
PZEILPL,0
PFIETS,0
PINBOED,0
PBYSTAND,0
AWABEDR,0
AWALAND,0
ABESAUT,0
AMOTSCO,0
AVRAAUT,0
AAANHANG,0
ATRACTOR,0
AWERKT,0
ABROM,0
ALEVEN,0
APERSONG,0
AGEZONG,0
AWAOREG,0
AZEILPL,0
AFIETS,0
AINBOED,0
ABYSTAND,0
